CODE;FR
22993100-8;Papier ou carton photosensible
22993200-9;Papier ou carton thermosensible
22993300-0;Papier ou carton thermographique
22993400-1;Papier ou carton ondulé
24000000-4;Produits chimiques
24100000-5;Gaz
24110000-8;Gaz industriels
24111000-5;Hydrogène, argon, gaz rares, azote et oxygène
24111100-6;Argon
24111200-7;Gaz rares
24111300-8;Hélium
24111400-9;Néon
24111500-0;Gaz médicaux
24111600-1;Hydrogène
24111700-2;Azote
24111800-3;Azote liquide
24111900-4;Oxygène
24112000-2;Composés oxygénés inorganiques
24112100-3;Dioxyde de carbone
24112200-4;Oxydes azotés
24112300-5;Composés oxygénés inorganiques gazeux
24113000-9;Air liquide et air comprimé
24113100-0;Air liquide
24113200-1;Air comprimé
24200000-6;Colorants et pigments
24210000-9;Oxydes, peroxydes et hydroxydes
24211000-6;Oxyde et peroxyde de zinc, oxyde de titane, colorants et pigments
24211100-7;Oxyde de zinc
24211200-8;Peroxyde de zinc
24211300-9;Oxyde de titane
24212000-3;Oxydes et hydroxydes de chrome, de manganèse, de magnésium, de plomb et de cuivre
24212100-4;Oxyde de chrome
24212200-5;Oxyde de manganèse
24212300-6;Oxyde de plomb
24212400-7;Oxyde de cuivre
24212500-8;Oxyde de magnésium
24212600-9;Hydroxydes pour colorants et pigments
24212610-2;Hydroxyde de chrome
24212620-5;Hydroxyde de manganèse
24212630-8;Hydroxyde de plomb
24212640-1;Hydroxyde de cuivre
24212650-4;Hydroxyde de magnésium
24213000-0;Chaux hydratée
24220000-2;Extraits tannants, extraits tinctoriaux, tannins et matières colorantes
24221000-9;Extraits tinctoriaux
24222000-6;Extraits tannants
24223000-3;Tannins
24224000-0;Matières colorantes
24225000-7;Produits de tannage
24300000-7;Produits chimiques organiques et inorganiques de base
24310000-0;Produits chimiques inorganiques de base
24311000-7;Éléments chimiques, acides inorganiques et composés
24311100-8;Métalloïdes
24311110-1;Phosphures
24311120-4;Carbures
24311130-7;Hydrures
24311140-0;Nitrures
24311150-3;Azotures
24311160-6;Siliciures
24311170-9;Borures
24311180-2;Soufre raffiné
24311200-9;Halogène
24311300-0;Métaux alcalins
24311310-3;Mercure
24311400-1;Chlorure d'hydrogène, acides inorganiques, dioxyde de silicium et de soufre
24311410-4;Acides inorganiques
24311411-1;Acide sulfurique
24311420-7;Acide phosphorique
24311430-0;Acides polyphosphoriques
24311440-3;Acide hexafluorosilicique
24311450-6;Dioxyde de soufre
24311460-9;Dioxyde de silicium
24311470-2;Chlorure d'hydrogène
24311500-2;Hydroxydes utilisés comme produits chimiques inorganiques de base
24311510-5;Oxydes métalliques
24311511-2;Pyrites et oxydes de fer
24311520-8;Hydroxyde de sodium
24311521-5;Soude caustique
24311522-2;Soude liquide
24311600-3;Composés du soufre
24311700-4;Soufre
24311800-5;Carbone
24311900-6;Chlore
24312000-4;Halogénures métalliques, hypochlorites, chlorates et perchlorates
24312100-5;Halogénures métalliques
24312110-8;Hexafluorosilicate de sodium
24312120-1;Chlorures
24312121-8;Chlorure d'aluminium
24312122-5;Chlorure ferrique
24312123-2;Polychlorure d'aluminium
24312130-4;Chlorhydrate d'aluminium
24312200-6;Hypochlorites et chlorates
24312210-9;Chlorite de sodium
24312220-2;Hypochlorite de sodium
24313000-1;Sulfures, sulfates, nitrates, phosphates et carbonates
24313100-2;Sulfures, sulfites et sulfates
24313110-5;Sulfures divers
24313111-2;Sulfure d'hydrogène
24313112-9;Polysulfures
24313120-8;Sulfates
24313121-5;Thiosulfate de sodium
24313122-2;Sulfate ferrique
24313123-9;Sulfate d'aluminium
24313124-6;Sulfate de sodium
24313125-3;Sulfate de fer
24313126-0;Sulfate de cuivre
24313200-3;Phosphinates, phosphonates, phosphates et polyphosphates
24313210-6;Hexamétaphosphate de sodium
24313220-9;Phosphates
24313300-4;Carbonates
24313310-7;Carbonate de sodium
24313320-0;Bicarbonate de sodium
24313400-5;Nitrates
24314000-8;Sels métalliques acides divers
24314100-9;Permanganate de potassium
24314200-0;Sels oxométalliques acides
24315000-5;Produits chimiques inorganiques divers
24315100-6;Eau lourde, autres isotopes et leurs composés
24315200-7;Cyanure, oxyde de cyanure, fulminates, cyanates, silicates, borates, perborates, sels d'acides inorganiques
24315210-0;Cyanures
24315220-3;Oxyde de cyanure
24315230-6;Fulminates
24315240-9;Cyanates
24315300-8;Peroxyde d'hydrogène
24315400-9;Quartz piézoélectrique
24315500-0;Composés de métaux des terres rares
24315600-1;Silicates
24315610-4;Silicate de sodium
24315700-2;Borates et perborates
24316000-2;Eau distillée
24317000-9;Pierres synthétiques
24317100-0;Pierres précieuses synthétiques
24317200-1;Pierres semi-précieuses synthétiques
24320000-3;Produits chimiques organiques de base
24321000-0;Hydrocarbures
24321100-1;Hydrocarbures saturés
24321110-4;Hydrocarbures acycliques saturés
24321111-1;Méthane
24321112-8;Éthylène
24321113-5;Propène
24321114-2;Butène
24321115-9;Acétylène
24321120-7;Hydrocarbures cycliques saturés
24321200-2;Hydrocarbures non saturés
24321210-5;Hydrocarbures acycliques non saturés
24321220-8;Hydrocarbures cycliques non saturés
24321221-5;Benzène
24321222-2;Toluène
24321223-9;O-xylènes
24321224-6;M-xylènes
24321225-3;Styrène
24321226-0;Éthylbenzène
24321300-3;Autres dérivés halogénés d'hydrocarbures
24321310-6;Tétrachloroéthylène
24321320-9;Tétrachlorure de carbone
24322000-7;Alcools, phénols, phénols-alcools et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés, alcools gras industriels
24322100-8;Alcools gras industriels
24322200-9;Monoalcools
24322210-2;Méthanol
24322220-5;Éthanol
24322300-0;Diols, polyalcools et dérivés
24322310-3;Éthylène glycol
24322320-6;Dérivés d'alcools
24322400-1;Phénols et dérivés de phénols
24322500-2;Alcool
24322510-5;Alcool éthylique
24323000-4;Acides gras monocarboxyliques industriels
24323100-5;Huiles acides de raffinage
24323200-6;Acides carboxyliques
24323210-9;Acide acétique
24323220-2;Acide peracétique
24323300-7;Acides monocarboxyliques non saturés et leurs composés
24323310-0;Esters d'acide méthacrylique
24323320-3;Esters d'acide acrylique
24323400-8;Acides aromatiques polycarboxyliques et carboxyliques
24324000-1;Composés organiques à fonction azotée
24324100-2;Composés à fonction aminée
24324200-3;Amino-composés à fonction oxygénée
24324300-4;Uréides
24324400-5;Composés à fonction azotée
24325000-8;Composés organosulfureux
24326000-5;Aldéhyde, cétone, peroxydes organiques et éthers
24326100-6;Composés à fonction aldéhyde
24326200-7;Composés à fonction cétone et à fonction quinone
24326300-8;Peroxydes organiques
24326310-1;Oxyde d'éthylène
24326320-4;Éthers
24327000-2;Produits chimiques organiques divers
24327100-3;Dérivés végétaux pour teinture
24327200-4;Charbon de bois
24327300-5;Huiles et produits de la distillation du goudron de houille, poix et brai de goudron à haute température
24327310-8;Goudron de houille
24327311-5;Créosote
24327320-1;Poix
24327330-4;Brai de goudron
24327400-6;Produits à base de résine
24327500-7;Lessives résiduelles provenant de la fabrication de la pâte à papier
24400000-8;Engrais et composés azotés
24410000-1;Engrais azotés
24411000-8;Acide nitrique et sels
24411100-9;Nitrate de sodium
24412000-5;Acides sulfonitriques
24413000-2;Ammoniac
24413100-3;Ammoniac liquide
24413200-4;Chlorure d'ammonium
24413300-5;Sulfate d'ammonium
24420000-4;Engrais phosphatés
24421000-1;Engrais minéraux phosphatés
24422000-8;Engrais chimiques phosphatés
24430000-7;Engrais d'origine animale ou végétale
24440000-0;Engrais divers
24450000-3;Produits agrochimiques
24451000-0;Pesticides
24452000-7;Insecticides
24453000-4;Herbicides
24454000-1;Régulateurs de croissance végétale
24455000-8;Désinfectants
24456000-5;Rodenticides
24457000-2;Fongicides
24500000-9;Matières plastiques sous forme primaire
24510000-2;Polymères d'éthylène sous forme primaire
24520000-5;Polymères de propylène sous forme primaire
24530000-8;Polymères de styrène sous forme primaire
24540000-1;Polymères de vinyle sous forme primaire
24541000-8;Polymères d'acétate de vinyle sous forme primaire
24542000-5;Polymères acryliques sous forme primaire
24550000-4;Polyesters sous forme primaire
24560000-7;Polyamides sous forme primaire
24570000-0;Résines uréiques sous forme primaire
24580000-3;Résines aminiques sous forme primaire
24590000-6;Silicones sous forme primaire
24600000-0;Explosifs
24610000-3;Explosifs préparés
24611000-0;Poudres propulsives
24611100-1;Combustibles au propergol
24612000-7;Explosifs divers
24612100-8;Dynamite
24612200-9;TNT
24612300-0;Nitroglycérine
24613000-4;Fusées de signalisation, fusées paragrêle, signaux de brume et articles de pyrotechnie
24613100-5;Cartouches-épouvantails sonores
24613200-6;Feux d'artifice
24615000-8;Mèches, détonateurs, amorceurs et détonateurs électriques
24900000-3;Produits de chimie fine et produits de chimie variés
24910000-6;Colles
24911000-3;Gélatines
24911200-5;Adhésifs
24920000-9;Huiles essentielles
24930000-2;Substances chimiques pour photographie
24931000-9;Plaques et films pour photographie
24931200-1;Émulsions à usage photographique
24931210-4;Révélateurs pour photographie
24931220-7;Fixateurs pour photographie
24931230-0;Révélateurs pour radiologie
24931240-3;Fixateurs pour radiologie
24931250-6;Milieux de culture
24931260-9;Renforçateurs d'image
24950000-8;Préparations chimiques spéciales
24951000-5;Graisses et lubrifiants
24951100-6;Lubrifiants
24951110-9;Boue de forage
24951120-2;Graisse de silicone
24951130-5;Fluides de forage
24951200-7;Additifs pour huiles
24951210-0;Poudre pour extincteurs d'incendie
24951220-3;Produits extincteurs
24951230-6;Charges pour extincteurs d'incendie
24951300-8;Fluides hydrauliques
24951310-1;Agents de dégivrage
24951311-8;Produits antigel
24951400-9;Graisses et huiles chimiquement modifiées
24952000-2;Pâtes à modeler
24952100-3;Cire dentaire
24953000-9;Agents de finissage
24954000-6;Charbon actif
24954100-7;Charbon actif neuf
24954200-8;Charbon actif régénéré
24955000-3;Toilettes chimiques
24956000-0;Peptones et substances protéiques
24957000-7;Additifs chimiques
24957100-8;Liants préparés pour moules ou noyaux de fonderie
24957200-9;Additifs pour ciment, mortier ou béton
24958000-4;Produits chimiques pour l'industrie du pétrole et du gaz
24958100-5;Produits chimiques pour fond de trou de forage
24958200-6;Agents floculants
24958300-7;Produits chimiques à boue
24958400-8;Ampoules à gel pour le bourrage d'explosifs
24959000-1;Aérosols et produits chimiques sous forme de disque
24959100-2;Aérosols
24959200-3;Éléments chimiques en forme de disque
24960000-1;Produits chimiques variés
24961000-8;Liquides de radiateur
24962000-5;Produits chimiques utilisés pour le traitement de l'eau
24963000-2;Produits anticorrosion
24964000-9;Glycérine
24965000-6;Enzymes
30000000-9;Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels
30100000-0;Machines, matériel et fournitures de bureau, excepté ordinateurs, imprimantes et meubles
30110000-3;Machines de traitement de texte
30111000-0;Traitements de texte
30120000-6;Photocopieurs et matériel d'impression offset
30121000-3;Photocopieurs et appareils de thermocopie
30121100-4;Photocopieurs
30121200-5;Matériel de photocopie
30121300-6;Matériel de reproduction
30121400-7;Duplicateurs
30121410-0;Télécopieurs
30121420-3;Émetteurs numériques
30121430-6;Duplicateurs numériques
30122000-0;Machines d'impression offset de bureau
30122100-1;Système d'impression offset numérique
30122200-2;Matériel d'impression offset numérique
30123000-7;Machines de bureau
30123100-8;Oblitérateurs automatiques
30123200-9;Distributeurs automatiques de billets de banque
30123300-0;Duplicateurs à stencil
30123400-1;Plieuses
30123500-2;Perforateurs
30123600-3;Machines à manipuler les pièces de monnaie
30123610-6;Machines à trier les pièces de monnaie
30123620-9;Machines à compter les pièces de monnaie
30123630-2;Machines de mise en rouleaux de pièces de monnaie
30124000-4;Pièces et accessoires de machines de bureau
30124100-5;Unités de fusion
30124110-8;Huile pour unités de fusion
30124120-1;Chiffon de nettoyage pour l'unité de fusion
30124130-4;Lampes pour unité de fusion
30124140-7;Tampon de nettoyage de l'unité de fusion
30124150-0;Filtres de nettoyage de l'unité de fusion
30124200-6;Kits pour unité de fusion
30124300-7;Tambours pour machines de bureau
30124400-8;Cartouches d'agrafes
30124500-9;Accessoires de scanner
30124510-2;Endosseurs
30124520-5;Bac d'alimentation de documents pour scanner
30124530-8;Adaptateurs de transparents pour scanner
30125000-1;Pièces et accessoires de photocopieurs
30125100-2;Cartouches de toner
30125110-5;Encre pour imprimantes laser/télécopieurs
30125120-8;Encre pour photocopieurs
30125130-1;Encre pour centres de calcul, de recherche et de documentation
30130000-9;Matériel de bureau de poste
30131000-6;Équipement de salle du courrier
30131100-7;Plieuses de papier ou d'enveloppes
30131200-8;Machines à mettre sous enveloppe
30131300-9;Adressographes
30131400-0;Machines à affranchir
30131500-1;Machines à ouvrir le courrier
30131600-2;Machines à cacheter le courrier
30131700-3;Machines à oblitérer
30131800-4;Timbreuses
30132000-3;Matériel de tri
30132100-4;Matériel de tri du courrier
30132200-5;Machines à compter les billets de banque
30132300-6;Trieuses
30133000-0;Matériel pour envoi postal
30133100-1;Matériel pour envoi postal en nombre
30140000-2;Machines à calculer et machines comptables
30141000-9;Machines à calculer
30141100-0;Calculatrices de poche
30141200-1;Calculatrices de bureau
30141300-2;Calculatrices imprimantes
30141400-3;Machines à additionner
30142000-6;Machines comptables et caisses enregistreuses
30142100-7;Machines comptables
30142200-8;Caisses enregistreuses
30144000-0;Machines du type machines à calculer
30144100-1;Affranchisseuses
30144200-2;Distributeurs automatiques de tickets
30144300-3;Machines de comptage des véhicules
30144400-4;Péage automatique
30145000-7;Pièces et accessoires de machines à calculer
30145100-8;Rouleaux pour machines à calculer
30150000-5;Machines à écrire
30151000-2;Machines à écrire électroniques
30152000-9;Pièces et accessoires de machines à écrire
30160000-8;Cartes magnétiques
30161000-5;Cartes de crédit
30162000-2;Cartes à puce
30163000-9;Cartes accréditives
30163100-0;Cartes pour l'achat de carburant
30170000-1;Étiqueteuses
30171000-8;Machines à dater ou à numéroter
30172000-5;Machines à imprimer les documents d'identité
30173000-2;Machines d'étiquetage
30174000-9;Machines à produires des étiquettes
30175000-6;Nécessaire pour lettrage
30176000-3;Titreuse manuelle
30177000-0;Machines à étiqueter automatiques
30178000-7;Machines à étiqueter semi-automatiques
30179000-4;Distributeurs d'étiquettes
30180000-4;Machines à endosser et à rédiger les chèques
30181000-1;Machines à endosser les chèques
30182000-8;Machines à rédiger les chèques
30190000-7;Machines, fournitures et équipement de bureau divers
30191000-4;Équipement de bureau, excepté les meubles
30191100-5;Équipement de classement
30191110-8;Carrousels à cartes
30191120-1;Porte-revues
30191130-4;Presse-papiers
30191140-7;Accessoires d'identification personnelle
30191200-6;Rétroprojecteurs
30191400-8;Déchiqueteuses
30192000-1;Fournitures de bureau
30192100-2;Effaceurs
30192110-5;Produits d'encrage
30192111-2;Tampons encreurs
30192112-9;Encre pour machines d'impression
30192113-6;Cartouches d'encre
30192121-5;Stylos à bille
30192122-2;Stylos à encre
30192123-9;Feutres
30192124-6;Stylos-feutres
30192125-3;Marqueurs
30192126-0;Stylos techniques
30192127-7;Porte-plumes
30192130-1;Crayons
30192131-8;Porte-mines
30192132-5;Mines de crayon de rechange
30192133-2;Taille-crayons
30192134-9;Porte-crayons
30192150-7;Timbres dateurs
30192151-4;Tampons à cacheter
30192152-1;Tampons numéroteurs
30192153-8;Tampons avec texte
30192154-5;Recharges pour tampons à timbrer
30192155-2;Porte-tampons de bureau
30192160-0;Correcteurs
30192170-3;Tableaux d'affichage
30192200-3;Mètres-rubans
30192300-4;Rubans encreurs
30192310-7;Rubans pour machines à écrire
30192320-0;Rubans pour imprimantes
30192330-3;Rubans et rouleaux pour calculatrices
30192340-6;Rubans pour télécopieurs
30192350-9;Rubans pour caisses enregistreuses
30192400-5;Fournitures pour reprographie
30192500-6;Transparents pour rétroprojecteurs
30192600-7;Planches à dessin
30192700-8;Papeterie
30192800-9;Étiquettes autocollantes
30192900-0;Outils de correction
30192910-3;Film ou ruban correcteur
30192920-6;Liquide correcteur
30192930-9;Stylos correcteurs
30192940-2;Recharges de stylos correcteurs
30192950-5;Effaceurs électriques
30193000-8;Organisateurs et accessoires
30193100-9;Organisateurs de tiroirs
30193200-0;Plateaux ou organisateurs pour bureau
30193300-1;Classeurs à dossiers suspendus
30193400-2;Serre-livres
30193500-3;Présentoir d'imprimés
30193600-4;Supports pour agendas ou calendriers
30193700-5;Boîte de rangement de dossiers
30193800-6;Supports de feuillets pour prise de message
30193900-7;Porte-copies
30194000-5;Fournitures pour dessin
30194100-6;Pistolets à dessin
30194200-7;Pastilles, bandes et films à dessin
30194210-0;Pastilles ou bandes à dessin
30194220-3;Films à dessin
30194300-8;Kits, ensembles et papiers à dessin
30194310-1;Kits ou ensembles à dessin
30194320-4;Papiers à dessin
30194400-9;Protections de table à dessin
30194500-0;Trace-lettres
30194600-1;Rapporteurs d'angles
30194700-2;Normographes
30194800-3;Équerres en T et triangles
30194810-6;Équerres en T
30194820-9;Triangles
30194900-4;Rabats de protection de plans de travail
30195000-2;Tableaux
30195100-3;Plannings muraux ou accessoires
30195200-4;Tableaux-copieurs électroniques ou accessoires
30195300-5;Fournitures de bureau ou accessoires
30195400-6;Tableaux effaçables à sec ou accessoires
30195500-7;Tableaux ou accessoires
30195600-8;Tableaux d'affichage ou accessoires
30195700-9;Kits de nettoyage de tableaux ou accessoires
30195800-0;Supports ou rails d'accrochage
30195900-1;Tableaux blancs et tableaux magnétiques
30195910-4;Tableaux blancs
30195911-1;Accessoires pour tableaux blancs
30195912-8;Présentoirs pour tableaux blancs
30195913-5;Présentoirs pour tableaux à feuilles mobiles
30195920-7;Tableaux magnétiques
30195921-4;Effaceurs pour tableaux magnétiques
30196000-9;Systèmes de planification
30196100-0;Plannings de réunions
30196200-1;Carnets de rendez-vous ou recharges
30196300-2;Boîtes à suggestions
30197000-6;Petit matériel de bureau
30197100-7;Agrafes, pointes, punaises
30197110-0;Agrafes
30197120-3;Pointes
30197130-6;Punaises
30197200-8;Classeurs à anneaux et trombones
30197210-1;Classeurs à anneaux
30197220-4;Trombones à papier
30197221-1;Sébiles à trombones
30197300-9;Ouvre-lettres, agrafeuses et perforateurs à trous
30197310-2;Ouvre-lettres
30197320-5;Agrafeuses
30197321-2;Dégrafeuses
30197330-8;Perforateurs à trous
30197400-0;Éponge à humecter les timbres
30197500-1;Cire à cacheter
30197510-4;Accessoires pour cire à cacheter
30197600-2;Papier et carton traités
30197610-5;Papier et carton assemblés
30197620-8;Papier à écrire
30197621-5;Bloc de feuilles pour tableaux à feuilles mobiles
30197630-1;Papier d'impression
30197640-4;Papier autocopiant ou autre papier à copies
30197641-1;Papier thermographique
30197642-8;Papier pour photocopie et papier pour xérographie
30197643-5;Papier pour photocopie
30197644-2;Papier pour xérographie
30197645-9;Carte pour impression
30198000-3;Machines de loterie
30198100-4;Machines à sous
30199000-0;Articles de papeterie et autres articles en papier
30199100-1;Papier carbone, papier autocopiant, papier stencil et papier non carboné
30199110-4;Papier carbone
30199120-7;Papier autocopiant
30199130-0;Papier non carboné
30199140-3;Papier stencil
30199200-2;Enveloppes, cartes-lettres et cartes postales non illustrées
30199210-5;Cartes-lettres
30199220-8;Cartes postales non illustrées
30199230-1;Enveloppes
30199240-4;Kit d'expédition de courrier
30199300-3;Papier estampé ou perforé
30199310-6;Papier d'impression estampé ou perforé
30199320-9;Papier à lettres estampé ou perforé
30199330-2;Papier en continu pour imprimantes d'ordinateurs
30199340-5;Formulaires en continu
30199400-4;Papier gommé ou adhésif
30199410-7;Papier autocollant
30199500-5;Boîtes-classeurs, classe-lettres, boîtes de rangement et articles similaires
30199600-6;Intercalaires de papeterie
30199700-7;Articles de papeterie imprimés, excepté les formulaires
30199710-0;Enveloppes imprimées
30199711-7;Enveloppes à fenêtre imprimées
30199712-4;Enveloppes sans fenêtre imprimées
30199713-1;Enveloppes pour radiographies imprimées
30199720-3;Papier à lettres
30199730-6;Cartes de visite
30199731-3;Porte-cartes professionnelles
30199740-9;Papillons
30199750-2;Coupons
30199760-5;Étiquettes
30199761-2;Étiquettes à codes-barres
30199762-9;Étiquettes pour bagages
30199763-6;Etiquettes antivol
30199770-8;Chèques-repas
30199780-1;Sous-main
30199790-4;Tableaux horaires
30199791-1;Emplois du temps muraux
30199792-8;Calendriers
30199793-5;Supports d'agendas
30200000-1;Matériel et fournitures informatiques
30210000-4;Machines de traitement des données (matériel)
30211000-1;Unité centrale de traitement
30211100-2;Superordinateur
30211200-3;Matériel pour unité centrale
30211300-4;Plates-formes informatiques
30211400-5;Configurations informatiques
30211500-6;Unité centrale de traitement (CPU)
30212000-8;Matériel pour mini-ordinateurs
30212100-9;Unités centrales pour mini-ordinateurs
30213000-5;Ordinateurs personnels
30213100-6;Ordinateurs portables
30213200-7;Ordinateur tablette
30213300-8;Ordinateur de bureau
30213400-9;Unités centrales pour ordinateurs personnels
30213500-0;Ordinateurs de poche
30214000-2;Postes de travail
30215000-9;Matériel pour micro-ordinateurs
30215100-0;Unités centrales pour micro-ordinateurs
30216000-6;Lecteurs magnétiques ou optiques
30216100-7;Lecteurs optiques
30216110-0;Scanners informatiques
30216120-3;Matériel de reconnaissance optique de caractères
30216130-6;Lecteurs de codes-barres
30216200-8;Lecteurs de cartes magnétiques
30216300-9;Lecteurs de cartes perforées
30220000-7;Matériel de cartographie numérique
30221000-4;Plans cadastraux numériques
30230000-0;Matériel informatique
30231000-7;Écrans et consoles d'ordinateurs
30231100-8;Terminaux informatiques
30231200-9;Consoles
30231300-0;Écrans de visualisation
30231310-3;Écrans plats
30231320-6;Moniteurs à écran tactile
30232000-4;Périphériques (appareils)
30232100-5;Imprimantes et traceurs
30232110-8;Imprimantes laser
30232120-1;Imprimantes matricielles
30232130-4;Imprimantes graphiques couleur
30232140-7;Traceurs
30232150-0;Imprimantes à jet d'encre
30232600-0;Codeurs
30232700-1;Unité centrale de commande
30233000-1;Unités de mémoire et de lecture
30233100-2;Unités de mémoire
30233110-5;Unités de mémoire à carte magnétique
30233120-8;Unités de mémoire à bande magnétique
30233130-1;Unités de mémoire à disque magnétique
30233131-8;Unités de disques souples
30233132-5;Unités de disque dur
30233140-4;Unités de mémoire à accès sélectif (MAS)
30233141-1;Matrice redondante de disques indépendants (RAID)
30233150-7;Unités de disque optique
30233151-4;Lecteur et/ou graveur de CD
30233152-1;Lecteur et/ou graveur de DVD
30233153-8;Lecteur et/ou graveur de CD et de DVD
30233160-0;Dérouleurs en continu
30233161-7;Matériel de manipulation de cassettes
30233170-3;Carrousels
30233180-6;Dispositifs de stockage à mémoire flash
30233190-9;Contrôleur de disques
30233300-4;Lecteurs de cartes à puce
30233310-7;Lecteurs d'empreintes digitales
30233320-0;Lecteurs combinés de cartes à puces et d'empreintes digitales
30234000-8;Supports de mémoire
30234100-9;Disque magnétique
30234200-0;Disques optiques
30234300-1;Disques compacts (CD)
30234400-2;Disques numériques polyvalents (DVD)
30234500-3;Supports de stockage à mémoire
30234600-4;Mémoire flash
30234700-5;Bandes magnétiques
30236000-2;Matériel informatique divers
30236100-3;Matériel d'extension de mémoire
30236110-6;Mémoire vive (RAM)
30236111-3;Mémoire vive dynamique (DRAM)
30236112-0;Mémoire vive statique (SRAM)
30236113-7;Mémoire vive dynamique synchrone (SDRAM)
30236114-4;Mémoire vive dynamique en bus (RDRAM)
30236115-1;Mémoire vive graphique synchrone (SGRAM)
30236120-9;Mémoire morte (ROM)
30236121-6;Mémoire morte programmable (PROM)
30236122-3;Mémoire morte reprogrammable (EPROM)
30236123-0;Mémoire morte reprogrammable électroniquement (EEPROM)
30236200-4;Matériel de traitement de données
30237000-9;Pièces, accessoires et fournitures pour ordinateurs
30237100-0;Parties et pièces d'ordinateurs
30237110-3;Interfaces de réseau
30237120-6;Bornes d'entrée
30237121-3;Ports infrarouges de série
30237130-9;Cartes informatiques
30237131-6;Cartes électroniques
30237132-3;Bus série universel (USB)
30237133-0;Adaptateurs et interfaces PCMCIA (Personal Computer Memory Card International Association)
30237134-7;Cartes accélératrices graphiques
30237135-4;Cartes d'interface réseau
30237136-1;Cartes audio
30237140-2;Cartes mères
30237200-1;Accessoires informatiques
30237210-4;Écrans antireflet
30237220-7;Tapis de souris
30237230-0;Caches
30237240-3;Caméra web
30237250-6;Accessoires de nettoyage pour ordinateur
30237251-3;Kits de nettoyage pour ordinateur
30237252-0;Aspirateurs pneumatiques pressurisés
30237253-7;Housses pour matériel informatique
30237260-9;Arbres de montage mural pour moniteurs
30237270-2;Mallettes de transport d'ordinateur portable
30237280-5;Accessoires d'alimentation
30237290-8;Appuie-poignets pour clavier
30237295-3;Protège-claviers
30237300-2;Fournitures informatiques
30237310-5;Cartouches de polices de caractères pour imprimantes
30237320-8;Disquettes
30237330-1;Cartouches de bandes audionumériques (DAT)
30237340-4;Cartouches de bandes linéaires numériques (DLT)
30237350-7;Chargeurs de données
30237360-0;Cartouches de bandes linéaires ouvertes (LTO)
30237370-3;Cartouches d'enregistrement
30237380-6;CD-ROM
30237400-3;Accessoires de saisie de données
30237410-6;Souris d'ordinateur
30237420-9;Manches à balai
30237430-2;Photostyles
30237440-5;Boules de commande
30237450-8;Tablettes graphiques
30237460-1;Claviers d'ordinateurs
30237461-8;Claviers programmables
30237470-4;Claviers braille
30237475-9;Capteurs électriques
30237480-7;Unités d'entrée
30238000-6;Matériel d'automatisation de bibliothèque
31000000-6;"Machines, appareils, équipements et consommables électriques; éclairage"
31100000-7;Moteurs, générateurs et transformateurs électriques
31110000-0;Moteurs électriques
31111000-7;Adaptateurs
31120000-3;Générateurs
31121000-0;Groupes électrogènes
31121100-1;Groupes électrogènes à moteur à allumage par compression
31121110-4;Convertisseurs
31121111-1;Convertisseurs électriques rotatifs
31121200-2;Groupes électrogènes à moteurs à allumage par étincelle
31121300-3;Aérogénérateurs
31121310-6;Éoliennes
31121320-9;Turbines éoliennes
31121330-2;Générateurs à turbines éoliennes
31121331-9;Rotors de turbine
31121340-5;Ferme éolienne
31122000-7;Groupes générateurs
31122100-8;Piles à combustible
31124000-1;Générateur à turbine à vapeur et appareillage
31124100-2;Générateurs à turbines
31124200-3;Appareils de commande de générateurs à turbines
31126000-5;Dynamos
31127000-2;Générateur de secours
31128000-9;Turbogénérateur
31130000-6;Alternateurs
31131000-3;Moteurs monophasés
31131100-4;Actionneurs
31131200-5;Anodes
31132000-0;Moteurs polyphasés
31140000-9;Tours de refroidissement
31141000-6;Refroidisseurs d'eau
31150000-2;Ballast pour lampes ou tubes à décharge
31151000-9;Convertisseurs statiques
31153000-3;Redresseurs
31154000-0;Sources d'alimentation électrique ininterruptible
31155000-7;Onduleurs
31156000-4;Alimentation interruptible en courant
31157000-1;Inducteurs
31158000-8;Chargeurs
31158100-9;Chargeurs de batterie
31158200-0;Compresseur d'alimentation
31158300-1;Turbocompresseur
31160000-5;Pièces pour moteurs, générateurs et transformateurs électriques
31161000-2;Pièces pour moteurs et générateurs électriques
31161100-3;Systèmes d'excitation
31161200-4;Systèmes de refroidissement de gaz
31161300-5;Rotors de générateurs
31161400-6;Systèmes d'eau primaire
31161500-7;Systèmes d'huile d'étanchéité
31161600-8;Systèmes d'eau de refroidissement de stators
31161700-9;Pièces de générateurs de vapeur
31161800-0;Pièces pour générateurs de gaz
31161900-1;Systèmes de réglage de tension
31162000-9;Pièces de transformateurs, d'inducteurs et de convertisseurs statiques
31162100-0;Pièces de condenseurs
31170000-8;Transformateurs
31171000-5;Transformateurs à diélectrique liquide
31172000-2;Transformateurs de tension
31173000-9;Transformateur de mesure
31174000-6;Transformateurs d'alimentation
31200000-8;Appareils de distribution et de commande électriques
31210000-1;Appareils électriques de commutation ou de protection de circuits électriques
31211000-8;Tableaux et boîtes à fusibles
31211100-9;Tableaux de commande électriques
31211110-2;Tableaux de contrôle
31211200-0;Boîtes à fusibles
31211300-1;Fusibles
31211310-4;Coupe-circuits
31211320-7;Blocs à fusibles
31211330-0;Fils fusibles
31211340-3;Douilles de fusibles
31212000-5;Disjoncteurs
